1,,,,,,,,,,,
Pub Title,https://dx.doi.org/10.3390/nu15030636,,,,,,,,,,
SQ_R,IBD AND (pyrimidine startvation OR pyrimidine synthesis inhibitor),apoptosis AND IBD,TCR signaling AND IBD,,,,,,,,
14,,,,,,,,,,,
Pub Title,https://dx.doi.org/10.1016/j.immuni.2023.04.010,,,,,,,,,,
Keywords,TCR repertoire,TCR avidity,recruitment,cross-reactivity,CD8+ T cells,,,,,,
SQ_TP,IBD AND gut microbiome,TCR avidity AND IBD AND microbiome,,,,,,,,,
SQ_FP,cross-reactivity AND CD8+ T cells NOT IBD,recruitment AND cross-reactivity,,,,,,,,,
SQ_R,(TCR avidity OR TCR repertoire  OR recruitment) AND IBD,TCR repertoire AND IBD,,,,,,,,,
15,,,,,,,,,,,
Pub Title,https://dx.doi.org/10.1016/j.jhep.2022.12.028,,,,,,,,,,
Keywords,liver regeneration,intestinal microbiome,lipidomics,mouse model,impaired lipogenesis,SCFA production,antibiotic treatment,hepatectomy,PCR,16S rRNA gene sequencing,hepatic membrane phospholipid bioynthesis AND NOT IBD
SQ_TP,intestinal microbiome AND IBD,,,,,,,,,,
SQ_FP,intestinal microbiome AND NOT IBD,lipodomics AND liver regeneration AND hepatectomy,PCR AND 16S rRNA sequencing,lipodomics NOT intestinal microbiome,(impaired lipogenesis OR SCFA production OR antibiotic treatment) NOT intestinal microbiome NOT IBD,,,,,,
SQ_R,impaired lipogenesis AND IBD NOT intestinal microbiome,mouse model AND microbiome,,,,,,,,,
16,,,,,,,,,,,
Pub Title,https://dx.doi.org/10.1016/j.chom.2022.09.011,,,,,,,,,,
Keywords,mouse gut microbiota,anaerobic cultivation,synthetic community,gnotobiology,microbe-host interaction,Oligo-Mouse Microbiota,adaptive immune response AND NOT IBD,DSS-induced colitis AND NOT IBD,Clostridiales,Lactobacillaceae,Coriobacteriales
SQ_TP,mouse gut microbiota AND IBD,(synthetic community OR anaerobic cultivation) AND IBD,microbe-host interaction AND IBD,(Clostridiales[Organism] OR Lactobacillaceae[Organism] OR Coriobacteriales[Organism]) AND IBD,,,,,,,
SQ_FP,anaerobic cultivation NOT mouse gut microbiota NOT gnotobiology,(Clostridiales[Organism] OR Lactobacillaceae[Organism] OR Coriobacteriales[Organism]) NOT IBD NOT microbe-host interaction NOT gut microbiota,,,,,,,,,
SQ_R,mouse gut microbiota NOT microbe-host interaction,(microbiome-host interaction OR gnotobiology) NOT gut microbiota ,,,,,,,,,
17,,,,,,,,,,,
Pub Title,https://dx.doi.org/10.3389/fimmu.2022.901194,,,,,,,,,,
Keywords,Aryl Hydrocarbon Receptor,Allergic Airway Inflammation ,CYP1 activity,mouse model,immunoregulation,skin and intestinal inflammatory disorders AND IBD,circadian clock genes AND NOT IBD,RNA extraction,PCR,,
SQ_TP,intestinal inflammation AND (IBD OR gut microbiome),,,,,,,,,,
SQ_FP,mouse model AND immunoregulation NOT IBD NOT microbiome,PCR AND RNA extraction AND CYP1 activity,Allergic Airway Inflammation NOT IBD,circadian clock genes AND RNA extraction AND mouse model,,,,,,,
SQ_R,CYP1 activity AND IBD,microbe-host interaction AND (allergic airway inflammation OR aryl hydrocarbon receptor),,,,,,,,,
18,,,,,,,,,,,
Pub Title,https://dx.doi.org/10.1016/j.molmet.2022.101628,,,,,,,,,,
Keywords,Circadian rhythm,SCN,Shift work,SCFA,bile acids,intestinal clock AND NOT IBD,body weight changes,mouse model,qPCR,16S rRNA gene amplicon sequencing,
SQ_TP,bile acids AND microbiome AND IBD,,,,,,,,,,
SQ_FP,qPCR AND 16S rRNA gene amplicon sequencing,Circadian rhythm AND Shift work AND SCFA AND body weight changes,Circadian rhythm AND bile acids NOT IBD NOT microbiome,SCN AND SCFA,,,,,,,
SQ_R,bile acids AND IBD,body weight changes AND IBD,,,,,,,,,
19,,,,,,,,,,,
Pub Title,https://dx.doi.org/10.1111/jdv.17911,,,,,,,,,,
Keywords,Microbial dysbiosis ,atopic dermatitis,skin microbiome communities,mouse model,Staphylococci,Lachnospiraceae,Muribaculaceae,calciportiol,oxazolone,IgE induction,cytokines
SQ_TP,Microbial dysbiosis AND IBD,Staphylococci[Organism] AND IBD,microbiome communities AND IBD,,,,,,,,
SQ_FP,atopic dermatitis NOT IBD NOT bacterial micriobiome,(calcipotriol OR oxazolone) AND cytokines AND (IgE induction OR atopic dermatitis),IgE induction AND cytokines,,,,,,,,
SQ_R,IgE induction AND IBD NOT microbiome,cytokines AND IBD NOT microbiome,Microbial dysbiosis AND microbiome communities NOT IBD,microbiome AND atopic dermatitis NOT IBD,,,,,,,
20,,,,,,,,,,,
Pub Title,https://dx.doi.org/10.1080/19490976.2022.2107386,,,,,,,,,,
Keywords,gut microbiota,host immunity,model organisms,causality,host-microbe interactions,metabolite profiling,gene modifications,surgically induced models,SCFA,gnotobiology,immunity regulation
SQ_TP,gut microbiota AND IBD,host-microbe interactions AND IBD,,,,,,,,,
SQ_FP,host immunity AND causality NOT IBD,model organism AND causality AND SCFA NOT IBD NOT microbiome,gene modifications AND immunity regulation AND causality NOT microbiome NOT IBD,,,,,,,,
SQ_R,SCFA AND IBD,metabolite profiling AND IBD,gnotobiology AND IBD NOT microbiome,,,,,,,,
