1,,,,,,,,,,,
Pub Title,Microbial regulation of hexokinase 2 links mitochondrial metabolism and cell death in colitis. Cell Metabolism,,,,,,,,,,
SQ_R,cultivation-independent technologies,(cultivation-independent technologies) OR dysbiosis OR disbiosis,viral tagging,,,,,,,,
SQ_FP,(dysbiosis OR disbiosis) NOT (Gut OR microbiome OR intestine),(Phages) NOT (Gut OR intestine),,,,,,,,,
6,,,,,,,,,,,
Pub Title,Challenges of Studying the Human Virome – Relevant Emerging Technologies,,,,,,,,,,
Keywords,human virome,bacteriophages,host range,multi-omics,computational tools,viromics,Protein-level assembly,phage de novo discoveries,,,
SQ_TP,human virome,bacteriophages AND (host range),,,,,,,,,
SQ_R,phage AND (de novo OR de-novo),Protein-level assembly,,,,,,,,,
SQ_FP,(virus AND (host range)) NOT (bacteria),host range NOT (virus OR virome),,,,,,,,,
7,,,,,,,,,,,
Pub Title,Neuroendocrine Differentiation in Conventional Colorectal Adenocarcinomas: Incidental Finding or Prognostic Biomarker?,,,,,,,,,,
Keywords,neuroendocrine differentiation,colorectal adenocarcinomas,MANEC,neoplasms,synaptophysin expression,H&E morphology,,,,,
SQ_TP,neuroendocrine differentiation AND (adenocarcinoma),MANEC,synaptophysin expression AND neoplasm,,,,,,,,
SQ_R,neuroendocrine differentiation,(H&E morphology) OR (H and E morphology),,,,,,,,,
SQ_FP,((H&E morphology) OR (H and E morphology)) NOT (carcinoma OR endocrine),,,,,,,,,,
8,,,,,,,,,,,
Pub Title,Loss of CDX2 in colorectal cancer is associated with histopathologic subtypes and microsatellite instability but is prognostically inferior to hematoxylin–eosin-based morphologic parameters from the WHO classification,,,,,,,,,,
Keywords,loss of CDX2,colorectal carcinoma,CRC,hematoxylin–eosin,tumour budding,CDX2,MSI-H,,,,
SQ_TP,CDX2 AND (CRC OR (colorectal carcinoma)),loss of CDX2,MSI-H AND (CRC OR (colorectal carcinoma)),,,,,,,,
SQ_R,MSI-H NOT (CRC OR (colorectal carcinoma)),CRC AND (tumor budding OR tumour budding),CRC,,,,,,,,
SQ_FP,hematoxylin–eosin NOT (cancer),,,,,,,,,,
9,,,,,,,,,,,
Pub Title,MiMiC: a bioinformatic approach for generation of synthetic communities from metagenomes,,,,,,,,,,
Keywords,community dynamics,data-driven design,species-level bacterial genomes,synthetic communities,minimal consortia,minimal community,microbial communities,,,,
SQ_TP,(data-driven design) AND (microbial communities),(minimal consortia) AND (community OR communities),species-level bacterial genomes,,,,,,,,
SQ_R,synthetic communities,minimal consortia,,,,,,,,,
SQ_FP,(community dynamics) NOT (microbiome),(data-driven design) NOT (gut OR microbiome),,,,,,,,,
10,,,,,,,,,,,
Pub Title,Secretin activates brown fat and induces satiation,,,,,,,,,,
Keywords,Brown adipose tissue,BAT,Secretin,satiation,intravenous secretin ,appetite,Whole body energy expenditure,refeed,,,
SQ_TP,((BAT) OR (Brown Adipose tissue)) AND Secretin,(appetite OR satiation OR refeed) AND Secretin,satiation AND (appetite OR energy expenditure OR food),,,,,,,,
SQ_R,Whole body energy expenditure,(BAT) OR (Brown Adipose tissue),intravenous secretin,,,,,,,,
SQ_FP,(BAT) NOT (appetite OR energy expenditure OR food),appetite NOT (food OR fat OR Hunger OR weight),,,,,,,,,
11,,,,,,,,,,,
Pub Title,The effect of gut microbiota on the intestinal lipidome of mice,,,,,,,,,,
Keywords,Cholesterol,Colon,Germfree,Gut microbiota,Ileum,Lipidomics,Phosphatidylcholine,PUFA,mice,docosahexaenoic acid,glycerophospholipids
SQ_TP,(Gut microbiota) AND (intestinal lipidome OR Ileum),Phosphatidylcholine AND gut,docosahexaenoic acid AND (gut OR health),Cholesterol AND colon,,,,,,,
SQ_R,Lipidomics AND PUFA,Germfree AND mice AND lipids,,,,,,,,,
SQ_FP,Colon NOT (lipid OR microbiome OR tumor),Ileum NOT (cancer OR tumor OR lipids OR health),,,,,,,,,
12,,,,,,,,,,,
Pub Title,Differences in Gut Virome Related to Barrett Esophagus and Esophageal Adenocarcinoma,,,,,,,,,,
Keywords,esophageal diseases,esophageal carcinogenesis,gut bacteriophages,bacterial exotoxin,LPS biosynthesis proteins,auxiliary metabolic genes,AMGs,,,,
SQ_TP,esophageal carcinogenesis,gut bacteriophages,esophageal diseases AND virus,,,,,,,,
SQ_R,(auxiliary metabolic genes) OR (AMGs),LPS AND (biosynthesis proteins),,,,,,,,,
SQ_FP,bacterial exotoxin NOT (Gut OR virome),LPS NOT (Gut OR virome OR health OR tumor),,,,,,,,,
13,,,,,,,,,,,
Pub Title,Unravelling the collateral damage of antibiotics on gut bacteria,,,,,,,,,,
Keywords,Antibiotics ,gut microbiome,collateral damage,commensals,erythromycin treatment,inhibition spectra,minimal inhibitory concentrations ,MIC,,,
SQ_TP,(collateral damage) AND antibiotics,minimal inhibitory concentrations AND antibiotics,,,,,,,,,
SQ_R,gut AND antibiotics,commensals AND gut,,,,,,,,,
SQ_FP,Antibiotics NOT (gut OR microbiome OR damage OR medicine),collateral damage NOT (antibiotics OR gut),,,,,,,,,
14,,,,,,,,,,,
Pub Title,Network analysis methods for studying microbial communities: A mini review,,,,,,,,,,
Keywords,Microbial co-occurrence networks,Microbial interactions,Network analysis,Trans-kingdom interactions,microbiome profiling,co-occurrence network,Correlation based methods,,,,
SQ_TP,Microbial co-occurrence networks,(Network analysis) AND microbiome,Trans-kingdom interactions,,,,,,,,
SQ_R,Correlation based methods AND (microbiome OR gut health),co-occurrence network,(microbiome profiling) AND network,,,,,,,,
SQ_FP,Correlation based methods NOT (microbiome OR gut OR health OR biology),,,,,,,,,,
15,,,,,,,,,,,
Pub Title,Prolonged Suppression of Butyrate-Producing Bacteria Is Associated With Acute Gastrointestinal Graft-vs-Host Disease and Transplantation-Related Mortality After Allogeneic Stem Cell Transplantation,,,,,,,,,,
Keywords,microbiome,butyrate,antibiotic therapy,graft-vs-host disease,allogeneic stem cell transplantation,GvHD,ASCT,butyrate-producing bacteria,,,
SQ_TP,butyrate AND (GvHD),antibiotic therapy AND (GVHD),ASCT AND (GVHD OR graft-versus-host-disease),,,,,,,,
SQ_R,(graft-vs-host disease) OR (graft-versus-host disease) OR (GvHD),butyrate-producing bacteria,,,,,,,,,
SQ_FP,((graft-vs-host disease) OR (graft-versus-host disease) OR (GvHD)) NOT (microbiome OR gut),(antibiotic therapy) NOT (Gut OR GVHD OR butyrate OR microbiome),,,,,,,,,
16,,,,,,,,,,,
Pub Title,Targeted T cell receptor gene editing provides predictable T cell product function for immunotherapy,,,,,,,,,,
Keywords,T cell receptor engineering,TCR,TCR transgenic T cells,TCR editing,CRISPR/Cas9 mediated engineering,orthotopic TCR replacement,OTR,predictable functionality,homogenous TCR expreession,,
SQ_TP,((T cell receptor engineering) OR TCR) AND immunotherapy,(TCR transgenic T cells) AND immunotherapy,orthotopic TCR replacement,homogenous TCR expreession,,,,,,,
SQ_R,(T cell receptor engineering) OR TCR,CRISPR/Cas9 mediated engineering,,,,,,,,,
SQ_FP,CRISPR/Cas9 NOT (T-cell OR T cell OR immunotherapy),OTR NOT (orthotopic TCR replacement),,,,,,,,,
17,,,,,,,,,,,
Pub Title,TRAF6 prevents fatal inflammation by homeostatic suppression of MALT1 protease,,,,,,,,,,
Keywords,TRAF6 ,E3 ligase,immune cell signaling,CBM complex,MALT1,mutant mice,TRAF6-MALT1,NF-κB signaling,,,
SQ_TP,TRAF6 AND MALT1,NF-κB signaling AND (TRAF6 OR MALT1),mutant mice AND (immunotherapy) AND (T-cell OR T cell),,,,,,,,
SQ_R,immune cell signaling,CBM complex,,,,,,,,,
SQ_FP,NF-κB signaling NOT (TRAF6 OR inflammation),mutant mice NOT ((immunotherapy) OR (T-cell OR T cell)),,,,,,,,,
18,,,,,,,,,,,
Pub Title,Environmental signals rather than layered ontogeny imprint the function of type 2 conventional dendritic cells in young and adult mice,,,,,,,,,,
Keywords,Conventional dendritic cells ,cDC2 ,dual hematopoietic origin , fate mapping,cytokine environments,cDCs in early life,DNGR-1,mice,Immunofluorescence microscopy,scRNA-seq,
SQ_TP,(Conventional dendritic cells OR (cdc2)) AND (early life),(Conventional dendritic cells OR (cdc2)) AND (scRNA-seq OR single-cell RNA-seq),DNGR-1,,,,,,,,
SQ_R,fate mapping,dual hematopoietic origin ,,,,,,,,,
SQ_FP,cytokine environments NOT (CDC2 OR (early life) OR age OR growth),,,,,,,,,,
19,,,,,,,,,,,
Pub Title,Integrated genomic analyses of cutaneous T-cell lymphomas reveal the molecular bases for disease heterogeneity,,,,,,,,,,
Keywords,lymphoma,T cell,cutaneous,heterogeneity,mice,mycosis fungoides,sezary syndrome,CTCLs,stage-matched leukemic disease,,
SQ_TP,(cutaneous T-cell lymphoma OR CTCLs) AND (sezary syndrome),(cutaneous T-cell lymphoma OR CTCLs) AND (mycosis fungoides),stage-matched leukemic disease,(cutaneous T-cell lymphoma OR CTCLs) AND (heterogeneity),,,,,,,
SQ_R,cutaneous T-cell lymphoma OR CTCLs,mycosis fungoides,,,,,,,,,
SQ_FP,heterogeneity NOT (sezary OR CTCL OR lymphoma OR cancer),cutaneous NOT lymphoma,,,,,,,,,
20,,,,,,,,,,,
Pub Title,Tumor cell-intrinsic RIG-I signaling governs synergistic effects of immunogenic cancer therapies and checkpoint inhibitors in mice,,,,,,,,,,
Keywords,immune checkpoint inhibitors,PD-1 ,CTLA-4,cancer treatment,dendritic cells,proinflammatory signals,melanoma,,,,
SQ_TP,pd-1 and melanoma,pd-1 AND (CTLA-4),proinflammatory signals AND (pd-1 OR (CTLA-4)),melanoma AND (immune checkpoint inhibitors),,,,,,,
SQ_R,(immune checkpoint inhibitors) AND (cancer treatment),(PD-1 OR RIG-I) AND (cancer treatment),,,,,,,,,
SQ_FP,dendritic cells NOT cancer,proinflammatory signals NOT (pd-1 OR (CTLA-4) OR cancer),,,,,,,,,
