1,,,,,,,,,
Pub 1 Title,High-Fructose Diet Alters Intestinal Microbial Profile and Correlates with Early Tumorigenesis in a Mouse Model of Barrett’s Esophagus,,,,,,,,
Pub 16 Title,Partial enteral nutrition has no benefit on bone health but improves growth in paediatric patients with quiescent or mild Crohn's disease.,,,,,,,,
Keywords,Partial enteral nutrition,pedriatic Crohn's disease,Crohn's disease,growth,bone health,pedriatic patients,,,
SQ_TP,Partial enteral nutrition AND growth,bone health AND Crohn's disease ,,,,,,,
SQ_FP,Enteral nutrition AND intestinal permeability,Pedriatic nutrition NOT nutritional markers,,,,,,,
SQ_R,Growth AND bone metabolism IN Crohn's disease,Partial enteral nutrition AND intestinal microbiota,,,,,,,
17,,,,,,,,,
Pub 17 Title,"Oral Health, Oral Microbiota, and Incidence of Stroke-Associated Pneumonia—A Prospective Observational Study.",,,,,,,,
Keywords,Oral health,oral microbiota,stroke-associated pneuomonia,oral hygiene,pneumonia in stroke patients,,,,
SQ_TP,oral health AND stroke-associated pneumonia,oral microbiota AND stroke-associated pneuomonia,,,,,,,
SQ_FP,stroke AND pneuomonia,stroke AND antibiotic resistance,,,,,,,
SQ_R,oral microbiome AND pneumonia prognosis,oral health AND oral care in pneumonia prevention,,,,,,,
18,,,,,,,,,
Pub 18 Title,Reproducible Colonization of Germ-Free Mice With the Oligo-Mouse-Microbiota in Different Animal Facilities.,,,,,,,,
Keywords,Oligo-mouse-microbiota,colonization,germ-free mice,OMM,,,,,
SQ_TP,Germ-free mice AND OMM,Germ-free mice AND Oligo-mouse-microbiota,,,,,,,
SQ_FP,OMM AND immune system modulation,Oligo-mouse-microbiota AND immune system modulation,Gnotobiotic mice AND gut microbiome,,,,,,
SQ_R,infection biology AND mucosal immunology,microbial ecology AND host-microbiome metabolic cross talk,,,,,,,
19,,,,,,,,,
Pub 19 Title,Function and Regulation of the Pyruvate Transporter CstA in Escherichia coli.,,,,,,,,
Keywords,CstA,pyruvate transporter,Escherichia coli,pyruvate uptake,CstA regulation,,,,
SQ_TP,CstA AND pyruvate transporter,Escherichia coli AND pyruvate uptake,,,,,,,
SQ_FP,CstA AND carbon starvation,CstA mutations AND pyruvate metabolism,,,,,,,
SQ_R,CstA AND disease,,,,,,,,
20,,,,,,,,,
Pub 20 Title,Label or Concept – What Is a Pathobiont?,,,,,,,,
Keywords,Pathobiont,Escherichia coli,disease,virulence,microbe-host interaction,microbe-microbe interactions,,,
SQ_TP,Pathobiont AND disease,Pathobiont AND virulence,,,,,,,
SQ_FP,Pathobiont NOT microbiome,,,,,,,,
SQ_R,Pathobiont AND Helicobacter hepaticus,Pathobiont AND Escherichia coli,,,,,,,
