PubMed_IDs_R,PMC_IDs_R
"38257958, 38256343, 38249451, 38245675, 38228603, 38205082, 38203738, 38201884, 38193530, 38188629, 38185124, 38182316, 38172680, 38172612, 38151490, 38149007, 38139400, 38139027, 38135813, 38123600","10803070, 10802000, 10800968, 10800775, 10800711, 10800548, 10798865, 10798041, 10797088, 10796935, 10796758, 10796631, 10796607, 8171221, 10795836, 10795693, 10795475, 10794784, 10794746, 10794505"
"38260669, 38255822, 38250827, 38240239, 38236633, 38235622, 38225774, 38218205, 38214558, 38211583, 38201292, 38198572, 38187650, 38181168, 38180236, 38179040, 38177538, 38176655, 38166256, 38156834, 38001101, 37968405, 37889984, 37832554, 37704621, 37666801, 37624910, 37187296, 36931243, 36795562, 35366396, 34512656, 34233154, 33859108, 38196658, 38014096, 36582234, 36525463, 36511386, 36449339, 36334059, 35862718, 35637103, 33755719, 33688459, 33322496, 32542003, 32414695, 31818981, 31361603, 30627210, 30455700, 30319664, 28931679","10803162, 10802969, 10802926, 10802798, 10802683, 10802374, 10802228, 10802158, 10802109, 10802069, 10801906, 10801873, 10801732, 10801670, 10801662, 10801599, 10801516, 10801499, 10801329, 10801245, 7889221, 6336277, 5347138, 10800401, 10798370, 10795693, 10794555, 10781698, 10777926, 10766350, 10763354, 10744089, 10732497, 10730159, 10719430, 10718154, 10703180, 10701738, 10697212, 10688819, 10800223, 10799147, 10787474"
"38257292, 38254678, 38246549, 38243887, 38240548, 38235383, 38233485, 38230440, 38222011, 38217658, 38215064, 38214604, 38211565, 38200798, 38193365, 38186257, 38172977, 38170788, 38169126, 38168768, 38243258, 38221852, 38165856, 38161503, 38140353, 38107848, 38102104, 38073622, 38068719, 38042501, 38041095, 38035353, 38029085, 38026235, 38000660, 37998334, 37992649, 37981012, 37960282, 37944498, 38257172, 38248065, 38229009, 38215690, 38203560, 38180842, 38180710, 38179814, 38168701, 38167922, 38156773, 38143506, 38142326, 38140350, 38128971, 38123161, 38112643, 38105519, 38098864, 38097975","10802969, 10800854, 10800816, 10800775, 10800207, 10799955, 10799530, 10798517, 10797890, 10797485, 10797108, 10796490, 10795696, 10794548, 10794505, 10794237, 10793740, 10792067, 10791968, 10791944"
"38255821, 38242295, 38242197, 38241708, 38241373, 38231484, 38229552, 38219153, 38198357, 38198034, 38184270, 38181055, 38181036, 38179503, 38177099, 38169608, 38156523, 38144299, 38135129, 38130701, 38261350, 38261008, 38260946, 38260867, 38260847, 38260413, 38260345, 38260290, 38260186, 38260185, 38259960, 38259832, 38258070, 38257306, 38256934, 38256485, 38256417, 38256181, 38256070, 38256056, 38259879, 38254495, 38237741, 38232606, 38231910, 38231229, 38229616, 38225703, 38225125, 38223040, 38217557, 38211385, 38191578, 38185339, 38169303, 38155939, 38150015, 38141510, 38138012, 38136948","10803068, 10802828, 10802354, 10802055, 10802033, 10801879, 10801870, 10801647, 10801633, 10801228, 10801225, 10800842, 10800666, 10800657, 10800599, 10800564, 10800419, 10800307, 10800207, 10800054"
"38232278, 38231572, 38218653, 38182046, 38181787, 38170582, 38167276, 38149996, 38098978, 38068977, 38038061, 37989861, 37983266, 37979947, 37958979, 37958940, 37924805, 37913832, 37908545, 37908228, 34339299, 34339295","10800207, 10799387, 10799228, 10798621, 10797064, 10794505, 10794237, 10794172, 10794167, 10792639, 10790697, 10786444, 10786400, 10784722, 10783965, 10783010, 10778373, 10776888, 10776730, 10775554"
"38243308, 38228147, 38218920, 38218351, 38214010, 38212126, 38201561, 38190940, 38187388, 38182795, 38178258, 38175757, 38172565, 38157866, 38115743, 38086380, 38067326, 38067284, 38065081, 38058097, 38259096, 38245554, 38244400, 38242996, 38207204, 38188365, 38164977, 38142837, 38136437, 38134478, 38117182, 38115886, 38110956, 38110638, 38098250, 38091080, 38090485, 38077324, 38077052, 38072949","10803125, 10803057, 10803024, 10802926, 10802895, 10802849, 10802798, 10802668, 10802549, 10802103, 10801992, 10801814, 10801726, 10801670, 10801599, 10801538, 10801496, 10801486, 10801466, 10801390"
"38260661, 38260537, 38260144, 38260083, 38259298, 38257292, 38257283, 38257150, 38257127, 38256230, 38256098, 38256005, 38255975, 38255955, 38255954, 38255934, 38255781, 38255641, 38255279, 38255264, 38259279, 38255908, 38255264, 38254728, 38250706, 38244516, 38244254, 38242137, 38241373, 38239343, 38237887, 38234430, 38233389, 38231435, 38228750, 38227516, 38224289, 38219809, 38217037, 38216067","10803176, 10803171, 10803100, 10803024, 10802969, 10802929, 10802926, 10802895, 10802849, 10802846, 10802811, 10802228, 10802110, 10802069, 10802051, 10801996, 10801990, 10801988, 10801964, 10801916, 10803166, 10802400, 10801516, 10801350, 10801346, 10801111, 10800578, 10800401, 10800310, 10800300, 10800275, 10800230, 10800207, 10800196, 10800157, 10800091, 10800089, 10799925, 10799834, 10799607"
"38259095, 38259061, 38258906, 38257292, 38257141, 38256402, 38256249, 38255916, 38255819, 38254755, 38251232, 38248835, 38248826, 38248823, 38248446, 38246006, 38245781, 38245780, 38245554, 38245534, 38254678, 38123486, 37901448, 37845346, 37611884, 37459052, 37402104, 37293990, 37166884, 37119391, 37037513, 37035548, 37003609, 36334897, 36177011, 36139402, 35903105, 35860233, 35750314, 35514335, 38254456, 38222494, 38201306, 38172276, 38166768, 38149240, 38096943, 38084699, 38076414, 38070895, 38070347, 38068838, 38035700, 38016345, 38012694, 37992711, 37990006, 37980029, 37978573, 37972911","10802996, 10801633, 10801052, 10800310, 10800207, 10800178, 10798865, 10797570, 10796311, 8171221, 10796016, 10794975, 10794962, 10794746, 10794369, 10794237, 10792243, 10787446, 10785534, 10783729"
"38261245, 38260899, 38260879, 38259488, 38259079, 38258910, 38258331, 38258313, 38258006, 38257984, 38257958, 38257890, 38257841, 38257840, 38257826, 38257822, 38257811, 38257799, 38257789, 38257760, 38261285, 38260985, 38260945, 38260879, 38260801, 38260777, 38260758, 38260531, 38260488, 38260306, 38260037, 38259842, 38259829, 38259743, 38259479, 38259440, 38259435, 38259433, 38259380, 38259375","10773723, 10763180, 10745069, 10732497, 10715876, 10714990, 10708240, 10689341, 10800977, 10778133, 10767002, 10758782, 10741010, 10688786, 10685252, 10648159, 10577587, 10569982, 10563694, 10537997, 10793262, 10766787, 7615481, 10765113, 10761393, 10760143, 10758620, 10758383, 10745908, 10730377, 10730354, 10719066, 10716256, 10706695, 10705773, 10703801, 10700720, 10700415, 10699683, 10697515, 10803162, 10797776, 10786400, 10779936, 10778922, 10778654, 10773723, 10768369, 10766396, 10763354, 10762855, 10758401, 10752805, 10742414, 10715876, 10708240, 10778133, 10767002, 10764595, 10759162"
"38260103, 38257863, 38248533, 38248460, 38247399, 38246848, 38243343, 38243335, 38239846, 38238372, 38235595, 38232812, 38230258, 38226944, 38225565, 38218004, 38217512, 38214657, 38199973, 38194971","10766350, 10746110, 10774005, 10765615, 10741039, 10725186, 10641730, 10628761, 10579100, 10565399, 10538570, 10481382, 10433739, 10432575, 10340706, 7784663, 10307640, 10290154, 10284624, 10277291"
"33006494, 6481117","10802683, 10802180, 10801734, 10801516, 10800938, 10800934, 10800816, 10800390, 10800370, 10800327, 10800207, 10800063, 10799929, 10799802, 10799433, 10798901, 10797727, 10797411, 10797329, 10797287, 10799834, 10799409, 10796730, 10792037, 10791000, 10779796, 10765854, 10761945, 10758498, 10750284, 10757109, 10753046, 10746429, 10746385, 10741341, 10722136, 10707618, 10694921, 10797344, 10794344, 10803031, 10802967, 10802918, 10802857, 10802852, 10802811, 10802208, 10802203, 10802164, 10802158, 10802135, 10802125, 10802110, 10802047, 10802017, 10802000, 10801996, 10801990, 10801734, 10801612"
"37843887, 37537336, 37138601, 36788626, 36677477, 35977400, 35836413, 35744736, 35714082, 35531325, 35437888, 34550284, 34455803, 34088939, 34012005, 33627512, 33436440, 32803363, 32599660, 31982454, 38260869, 38260868, 38259170, 38258023, 38257996, 38257897, 38257863, 38257283, 38257188, 38257139, 38256252, 38256037, 38255161, 38254911, 38254888, 38254195, 38252939, 38252460, 38252232, 38251877, 38260960, 38259293, 38259281, 38259268, 38257962, 38257165, 38256127, 38255133, 38254702, 38253323, 38249477, 38248439, 38248338, 38244908, 38243955, 38243841, 38243562, 38241546, 38238389, 38237944","10789968, 10786140, 10781637, 10781634, 10773713, 10773023, 10770847, 10758737, 10750400, 10727056, 10727045, 10727038, 10727025, 10722717, 10712151, 10711079, 10688789, 10800424, 10797377, 10781954, 10789968, 10786144, 10781637, 10769648, 10757094, 10743888, 10741865, 10729645, 10727056, 10721504, 10709671, 10781622, 10773006, 10755879, 10727102, 10727066, 10726989, 10690758, 10690556, 10659544, 10790698, 10788067, 10786625, 10780911, 10770074, 10767275, 10747404, 10741745, 10730201, 10724616, 10711684, 10711275, 10710157, 10706808, 10706614, 10705880, 10703441, 10701328, 10700720, 10698091"
"38054728, 37987904, 37612289, 37604238, 37471128, 37237590, 37113238, 36880749, 36828537, 36386679, 36259361, 35572406, 35509078, 35365081, 35354286, 35256725, 35216302, 35151353, 34835065, 34627155","10790211, 10745565, 10688821, 10761908, 10632640, 10560975, 10415973, 10350370, 10319900, 10273058, 10222085, 10581186, 10572321, 10535783, 10440924, 10388558, 10297670, 10297508, 10296259, 10234254, 10803162, 10802926, 10802811, 10802798, 10802069, 10801814, 10801732, 10801670, 10801633, 10801599, 10801516, 10801499, 10801200, 10801111, 10800934, 10800916, 10800775, 10800657, 10800605, 10800578, 10803166, 10802400, 10802103, 10801516, 10801350, 10801346, 10801111, 10800578, 10800548, 10800401, 10800310, 10800300, 10800275, 10800230, 10800207, 10800196, 10800157, 10800091, 10800089, 10799925"
"38247591, 38243250, 38233647, 38226866, 38200798, 38199446, 38192401, 38180978, 38173971, 38149632, 38142398, 38115028, 38110975, 38073489, 38052127, 38035341, 37965344, 37952849, 37925877, 37896176, 38243250, 38233647, 38190406, 38164172, 38165179, 38149777, 38149632, 38115028, 38110547, 38108386, 38073489, 38066426, 38051969, 38046822, 38010886, 38002360, 37972721, 37967575, 37966243, 37947307","10803172, 10803166, 10803158, 10803100, 10803071, 10803068, 10803032, 10802979, 10802969, 10802950, 10802888, 10802846, 10802828, 10802827, 10802811, 10802797, 10802683, 10802653, 10802563, 10802515, 10799726, 10797056, 10794208, 10790441, 10789797, 10789658, 10785390, 10782949, 10781435, 10780804, 10779287, 10774151, 10773090, 10771303, 10767866, 10767849, 10767152, 10764553, 10762207, 10762115, 10797722, 10780804, 10773956, 10755280, 10754339, 10744996, 10744737, 10734526, 10728474, 10707392, 10694467, 10693716, 10781932, 10779147, 10778715, 10776683, 10755817, 10745509, 10745133, 10734525"
"38261373, 38261282, 38261258, 38261090, 38261019, 38260960, 38260940, 38260914, 38260910, 38260906, 38260901, 38260900, 38260893, 38260892, 38260889, 38260887, 38260881, 38260877, 38260871, 38260869, 38260918, 38260273, 38259389, 38259178, 38258906, 38258020, 38257863, 38257292, 38257172, 38257141, 38256892, 38256689, 38256499, 38256249, 38255916, 38255819, 38255764, 38255652, 38255320, 38255263","10800828, 10800775, 10800505, 10799947, 10798370, 10796567, 10796311, 10796040, 10794927, 10793954, 10793145, 10792899, 10792052, 10790434, 10788714, 10788409, 10787600, 10787224, 10785504, 10783859, 10803162, 10802793, 10802388, 10802069, 10801996, 10801599, 10801555, 10801542, 10801156, 10800934, 10800828, 10800824, 10800775, 10800657, 10800548, 10800505, 10800401, 10800390, 10800352, 10800300, 10345191, 8983303, 6830891, 4567643, 4348209, 1351362, 182867, 259464"
"38261373, 38261282, 38261258, 38261090, 38261019, 38260960, 38260940, 38260914, 38260910, 38260906, 38260901, 38260900, 38260893, 38260892, 38260889, 38260887, 38260881, 38260877, 38260871, 38260869, 38260918, 38260273, 38259389, 38259178, 38258906, 38258020, 38257863, 38257292, 38257172, 38257141, 38256892, 38256689, 38256499, 38256249, 38255916, 38255819, 38255764, 38255652, 38255320, 38255263","10802069, 10800501, 10800491, 10799026, 10798963, 10798636, 10798137, 10798043, 10797890, 10797449, 10797128, 10797042, 10794587, 10794557, 10794270, 10794067, 10793092, 10792585, 10792243, 10792183"
"38236841, 38124090, 38096689, 38078655, 37800577, 37770177, 37702461, 37652387, 37609055, 37603558, 37569567, 37543728, 37400966, 37358420, 37158497, 37145326, 37125198, 37105104, 36945126, 36927391","10803166, 10802967, 10802843, 10802158, 10802047, 10802000, 10801940, 10800970, 10800908, 10800824, 10800720, 10800390, 10800116, 10800091, 10800063, 10799862, 10799464, 10799456, 10799433, 10799368, 10802843, 10802793, 10802364, 10802158, 10802129, 10802021, 10801599, 10801028, 10801026, 10801004, 10800976, 10800968, 10800960, 10800908, 10800824, 10800748, 10800570, 10800505, 10800499, 10800421, 10803166, 10803031, 10802967, 10802891, 10802846, 10802843, 10802810, 10802683, 10802507, 10802212, 10802208, 10802203, 10802180, 10802164, 10802158, 10802141, 10802117, 10802047, 10802000, 10801958, 10802843, 10802158, 10801599, 10801028, 10801026, 10800968, 10800824, 10800748, 10800570, 10800505, 10800499, 10800421, 10800401, 10800390, 10800289, 10800116, 10800063, 10799834, 10799456, 10799433"
"38241896, 38201863, 38199196, 38193259, 38169859, 38113632, 38042287, 38037542, 38029177, 38003718, 37990616, 37967008, 37902616, 37902008, 37900123, 37894161, 37880759, 37877781, 37813785, 37812367","10803166, 10803031, 10802967, 10802891, 10802846, 10802843, 10802810, 10802683, 10802507, 10802212, 10802208, 10802203, 10802180, 10802164, 10802158, 10802141, 10802117, 10802047, 10802000, 10801958, 10802843, 10802272, 10802158, 10802021, 10801642, 10801084, 10800824, 10800788, 10800720, 10800499, 10800401, 10800370, 10800289, 10800207, 10800063, 10799929, 10799631, 10799583, 10799464, 10799433, 10803162, 10803070, 10802918, 10802914, 10802846, 10802843, 10802810, 10802793, 10802683, 10802573, 10802212, 10802208, 10802158, 10802129, 10802019, 10802000, 10801966, 10801940, 10801804, 10801732, 10802843, 10802208, 10802158, 10802129, 10802047, 10802000, 10801642, 10801633, 10801078, 10801026, 10800986, 10800980, 10800976, 10800968, 10800960, 10800944, 10800934, 10800846, 10800775, 10800748"
"38260869, 38259457, 38259106, 38258906, 38257933, 38257139, 38256841, 38256159, 38256146, 38255939, 38255909, 38255683, 38255299, 38255150, 38254686, 38254526, 38253555, 38253323, 38250970, 38249593","10802683, 10802224, 10802158, 10802017, 10801661, 10801652, 10800970, 10800395, 10800337, 10800307, 10800207, 10800063, 10800054, 10799913, 10799525, 10799433, 10799299, 10799134, 10799076, 10798847, 10801814, 10801670, 10801200, 10800846, 10800765, 10800201, 10800160, 10800157, 10799778, 10799374, 10798361, 10798037, 10797890, 10797776, 10797727, 10796478, 10796427, 10795464, 10795389, 10795377"
"38260522, 38254898, 38254069, 38250071, 38245855, 38244740, 38244614, 38242867, 38238609, 38238340, 38236787, 38236545, 38235375, 38232703, 38232660, 38231165, 38221530, 38216766, 38216287, 38215983","10801350, 10801111, 10800401, 10800310, 10800300, 10800230, 10800207, 10800196, 10800157, 10800091, 10800089, 10799925, 10799563, 10798911, 10798865, 10798370, 10798365, 10797776, 10797657, 10797570, 10803166, 10801111, 10800207, 10798370, 10797776, 10797657, 10795475, 10795375, 10794624, 10794557, 10794555, 10794235, 10793097, 10791926, 10790789, 10790632, 10790211, 10785090, 10783791, 10781698"
"38260914, 38260555, 38260022, 38258906, 38257190, 38257151, 38255801, 38255734, 38249807, 38248449, 38246133, 38245637, 38245596, 38244648, 38244513, 38243343, 38239365, 38235490, 38235147, 38230936, 33550886, 37764666, 36821043, 36044853, 35471119, 34911745, 33550886, 32942172, 32855978, 32513301, 32350141, 31796949, 31553906, 31372995, 31214623, 30873168, 30753547, 30511938, 30097293, 29760082, 29515025","10802683, 10802228, 10802158, 10801873, 10801599, 10801555, 10801499, 10800824, 10800775, 10800726, 10800390, 10800207, 10800157, 10799955, 10799708, 10799597, 10799574, 10799056, 10798712, 10798517"
"38247591, 38228675, 38216767, 38178148, 38163934, 38146388, 38143858, 38140684, 38128726, 38116809, 38060422, 38030275, 38029168, 38019490, 38016344, 37978573, 37974101, 37970093, 37956849, 37901245","10803162, 10802810, 10802364, 10802208, 10802103, 10802000, 10801745, 10801732, 10801642, 10801633, 10801599, 10801589, 10801516, 10801479, 10801207, 10801078, 10801062, 10801026, 10800986, 10800980, 10758489, 10700132, 10694921, 10765531, 10728488, 10701618, 10701366, 10694991, 10673920, 10611730, 10597640, 10539938, 10522642, 10493486, 10460796, 10403047, 10380781, 10363729, 10652962, 10649891, 10801026, 10800980, 10800421, 10800374, 10800207, 10799923, 10799860, 10799425, 10798865, 10798368, 10797690, 10796758, 10796040, 10795932, 10795779, 10795319, 10794746, 10794567, 10794557, 10794430"
"38261000, 38260098, 38259822, 38259624, 38259618, 38259493, 38259488, 38259479, 38258917, 38257800, 38256932, 38256356, 38256187, 38255822, 38255314, 38254989, 38254941, 38254695, 38254687, 38254640","10802069, 10800207, 10799510, 10798763, 10797788, 10794398, 10794284, 10794237, 10792630, 10791986, 10791733, 10788212, 10785688, 10784828, 10782630, 10781856, 10781708, 10778533, 10778076, 10777963, 10802926, 10802798, 10801906, 10801670, 10801385, 10801329, 10801200, 10801022, 10800938, 10800916, 10800607, 10800578, 10800300, 10800284, 10800207, 10799847, 10799374, 10798759, 10798361, 10798251, 10801350, 10801008, 10800916, 10800842, 10800548, 10800535, 10800501, 10800495, 10800491, 10800330, 10800207, 10799884, 10799597, 10799130, 10798911, 10798365, 10798254, 10797913, 10797841, 10797570"
"38257780, 38253735, 38192234, 38171566, 38141042, 38113274, 37972642, 37906150, 37866826, 37856945, 37843887, 37834005, 37766256, 37679419, 37587483, 37583589, 37575969, 37525143, 37513766, 37463032","10746431, 10704037, 10690882, 10768943, 10740722, 10685623, 10570930, 10547939, 10514025, 10477992, 10436521, 10349449, 10348378, 10336503, 10322151, 10641386, 10638509, 10638499, 10291199, 10246227, 10803166, 10802967, 10802918, 10802857, 10802846, 10802431, 10802203, 10802187, 10802180, 10802135, 10802131, 10802127, 10802117, 10802047, 10802023, 10802000, 10801940, 10801740, 10801732, 10801520, 10803066, 10801227, 10800529, 10800207, 10800193, 10800001, 10798254, 10798074, 10796631, 10795746, 10794945, 10794742, 10793646, 10793141, 10789775, 10789414, 10788122, 10788067, 10787708, 10787600"
"38261399, 38261322, 38261310, 38261245, 38261243, 38261226, 38261148, 38261113, 38261091, 38261035, 38261031, 38260915, 38260913, 38260905, 38260895, 38260878, 38260870, 38260751, 38260714, 38260515","10802180, 10801988, 10801557, 10800980, 10800934, 10800852, 10800778, 10800703, 10800657, 10800505, 10800501, 10800409, 10800207, 10800063, 10799955, 10799778, 10799026, 10798675, 10798251, 10797999"
