PubMed_IDs_TP,PubMed_IDs_FP,PubMed_IDs_R
"38092785, 37948972, 37868983, 37863310, 37843357, 37798858, 37654668, 37645558, 37631968, 37629267, 37612691, 37582478, 37567514, 37548272, 37534607, 37422093, 37345467, 37335757, 37287986, 37263112, 38249451, 38172680, 38172612, 38135686, 38128432, 38126100, 38093014, 38034050, 38004128, 37997887, 37893576, 37848036, 37842470, 37834270, 37781374, 37743871, 37686834, 37675346, 37642987, 37629267","38261367, 38261364, 38261321, 38261308, 38261285, 38261275, 38261245, 38261163, 38261150, 38261092, 38261062, 38260985, 38260983, 38260945, 38260899, 38260879, 38260822, 38260801, 38260788, 38260777, 38259963, 38259358, 38255641, 38249987, 38245675, 38243562, 38240375, 38238712, 38229068, 38228603, 38218379, 38216746, 38211629, 38205958, 38205082, 38203738, 38201884, 38193530, 38188629, 38188628","38257958, 38256343, 38249451, 38245675, 38228603, 38205082, 38203738, 38201884, 38193530, 38188629, 38185124, 38182316, 38172680, 38172612, 38151490, 38149007, 38139400, 38139027, 38135813, 38123600"
"38110339, 38088801, 38052315, 37992307, 37975051, 37972696, 37970230, 37954608, 37949208, 37875903, 37828979, 37824079, 37803436, 37782797, 37766337, 37704621, 37697097, 37691941, 37661675, 37646869, 38166628, 37962205, 37949208, 37946314, 37855738, 37842002, 37828979, 37696797, 37648857, 37422501, 37085045, 37081490, 37006463, 36993971, 36930164, 36930090, 36916398, 36846018, 36567548, 36565644, 38224627, 38216949, 38207230, 38181823, 38167649, 38112969, 38079221, 38075690, 38063845, 38063089, 38058069, 38040978, 38030304, 38023136, 38012650, 37956488, 37899130, 37872660, 37839277, 37828860","38259345, 38259061, 38257605, 38257100, 38255437, 38254655, 38254443, 38249016, 38246697, 38246375, 38246245, 38245838, 38243676, 38243653, 38242594, 38242473, 38242302, 38241679, 38241065, 38239368, 38261146, 38260472, 38259281, 38259082, 38258317, 38258297, 38257331, 38256858, 38256019, 38255968, 38255798, 38255309, 38255232, 38254859, 38254735, 38254373, 38254294, 38253778, 38253629, 38252908, 38233752, 38200005, 38186577, 38179773, 38177106, 38168227, 38167649, 38140600, 38132921, 38114433, 38057151, 38057032, 38055827, 38022565, 37972702, 37967193, 37957625, 37948512, 37942226, 37934242, 38192178, 38187223, 38172258, 38149948, 38113104, 38110479, 38076996, 38067117, 38039407, 38035132, 37961482, 37910551, 37793854, 37781383, 37752597, 37716048, 37678750, 37670812, 37656752, 37610509","38260669, 38255822, 38250827, 38240239, 38236633, 38235622, 38225774, 38218205, 38214558, 38211583, 38201292, 38198572, 38187650, 38181168, 38180236, 38179040, 38177538, 38176655, 38166256, 38156834, 38001101, 37968405, 37889984, 37832554, 37704621, 37666801, 37624910, 37187296, 36931243, 36795562, 35366396, 34512656, 34233154, 33859108, 38196658, 38014096, 36582234, 36525463, 36511386, 36449339, 36334059, 35862718, 35637103, 33755719, 33688459, 33322496, 32542003, 32414695, 31818981, 31361603, 30627210, 30455700, 30319664, 28931679"
"35031299, 32380746, 32286299, 31416242, 8586775, 37797731, 37374105, 37055935, 37006935, 36051659, 35742829, 35165232, 35057008, 35031299, 34702603, 34530175, 33947752, 33748630, 33518513, 33442738, 33209199, 33201276, 32908642, 32581844, 32151767","38260814, 38260572, 38260468, 38260421, 38260387, 38260352, 38257332, 38256383, 38256073, 38255934, 38255802, 38254665, 38253797, 38253414, 38253190, 38252352, 38252317, 38250927, 38250364, 38250153, 38260380, 38260171, 38258976, 38254035, 38253272, 38253083, 38252991, 38252317, 38251007, 38250761, 38247876, 38247539, 38247333, 38247327, 38245863, 38244711, 38244663, 38244593, 38244586, 38244583","38257292, 38254678, 38246549, 38243887, 38240548, 38235383, 38233485, 38230440, 38222011, 38217658, 38215064, 38214604, 38211565, 38200798, 38193365, 38186257, 38172977, 38170788, 38169126, 38168768, 38243258, 38221852, 38165856, 38161503, 38140353, 38107848, 38102104, 38073622, 38068719, 38042501, 38041095, 38035353, 38029085, 38026235, 38000660, 37998334, 37992649, 37981012, 37960282, 37944498, 38257172, 38248065, 38229009, 38215690, 38203560, 38180842, 38180710, 38179814, 38168701, 38167922, 38156773, 38143506, 38142326, 38140350, 38128971, 38123161, 38112643, 38105519, 38098864, 38097975"
"38242197, 38231484, 37725755, 37520719, 37395148, 37041757, 35883572, 35530162, 35398966, 34650057, 34557219, 34459091, 33738257, 33610718, 33436794, 33143149, 33131349, 28683909, 28473332, 28260989, 38256056, 38254641, 38252699, 38243928, 38236508, 38233795, 38231910, 38228803, 38225233, 38218012, 38216672, 38215891, 38212977, 38205284, 38204220, 38203603, 38201556, 38201286, 38200582, 38197493","38261008, 38260867, 38260847, 38259879, 38256934, 38256485, 38255193, 38252039, 38250682, 38250466, 38250306, 38248854, 38246986, 38246481, 38246443, 38246416, 38245888, 38245591, 38245398, 38244660, 38243994, 38239880, 38237903, 38237236, 38236304, 38235973, 38231496, 38228760, 38228218, 38226130, 38225849, 38224849, 38220130, 38219974, 38195465, 38191511, 38189105, 38188943, 38188545, 38179232","38255821, 38242295, 38242197, 38241708, 38241373, 38231484, 38229552, 38219153, 38198357, 38198034, 38184270, 38181055, 38181036, 38179503, 38177099, 38169608, 38156523, 38144299, 38135129, 38130701, 38261350, 38261008, 38260946, 38260867, 38260847, 38260413, 38260345, 38260290, 38260186, 38260185, 38259960, 38259832, 38258070, 38257306, 38256934, 38256485, 38256417, 38256181, 38256070, 38256056, 38259879, 38254495, 38237741, 38232606, 38231910, 38231229, 38229616, 38225703, 38225125, 38223040, 38217557, 38211385, 38191578, 38185339, 38169303, 38155939, 38150015, 38141510, 38138012, 38136948"
"37547381, 36792221, 36497431, 36179904, 35241937, 35238645, 35119146, 34348164, 33432636, 33418900, 32781547, 32540887, 32032568, 30975204, 30390464, 30170169, 30008596, 29943947, 29501452, 29293564","38189835, 38181751, 38131438, 38092509, 37958095, 37769672, 37751670, 37738940, 37598178, 37504146, 37473706, 37369668, 37330152, 37319181, 37230700, 37208609, 37188700, 37118457, 37108735, 36830339, 38180551, 37872593, 37370381, 37103367, 37003097, 36965614, 36920209, 36773438, 36719217, 36565346, 36513322, 36422039, 36374081, 36333944, 36216228, 36154441, 36144453, 36121241, 35916502, 35745484","38232278, 38231572, 38218653, 38182046, 38181787, 38170582, 38167276, 38149996, 38098978, 38068977, 38038061, 37989861, 37983266, 37979947, 37958979, 37958940, 37924805, 37913832, 37908545, 37908228, 34339299, 34339295"
"34599932, 38127229, 38078890, 37946177, 37897814, 36831485, 36821972, 36346580, 35857791, 35453482, 35197283, 35005770, 34822318, 34808241, 34769468, 34722158, 34709991, 34599932, 34094947, 34030589, 33964350","37753296, 36831485, 36501111, 36336148, 34985706, 34667145, 34158803, 33906557, 32888357, 32323831, 31243264, 29689565, 26742428, 26637224, 25692573, 38257396, 38255780, 38254688, 38241776, 38239506, 38238641, 38237742, 38237349, 38234617, 38231051, 38229135, 38223821, 38223670, 38218381, 38204243, 38203613, 38203299, 38202844, 38196284, 38191089","38243308, 38228147, 38218920, 38218351, 38214010, 38212126, 38201561, 38190940, 38187388, 38182795, 38178258, 38175757, 38172565, 38157866, 38115743, 38086380, 38067326, 38067284, 38065081, 38058097, 38259096, 38245554, 38244400, 38242996, 38207204, 38188365, 38164977, 38142837, 38136437, 38134478, 38117182, 38115886, 38110956, 38110638, 38098250, 38091080, 38090485, 38077324, 38077052, 38072949"
"37152929, 37091842, 35820577, 35489715, 35437952, 35420126, 34959754, 34394117, 33577920, 33522396, 33180143, 32998095, 32949677, 32823827, 32569680, 32231641, 32063861, 31853951, 31666597, 31623375, 23051967, 38259353, 38258780, 38257283, 38257159, 38257154, 38254330, 38253522, 38249557, 38248762, 38248642, 38245058, 38243197, 38242133, 38241565, 38238451, 38236135, 38234376, 38233951, 38233383, 38232577","38261397, 38261374, 38261360, 38261351, 38261220, 38261128, 38261126, 38261087, 38260971, 38260867, 38260858, 38260849, 38260847, 38260845, 38260842, 38260835, 38260834, 38260829, 38260819, 38260689, 38260918, 38260273, 38259389, 38259178, 38258906, 38258020, 38257863, 38257292, 38257172, 38257141, 38256892, 38256689, 38256499, 38256249, 38255916, 38255764, 38255652, 38255320, 38255263, 38255150","38260661, 38260537, 38260144, 38260083, 38259298, 38257292, 38257283, 38257150, 38257127, 38256230, 38256098, 38256005, 38255975, 38255955, 38255954, 38255934, 38255781, 38255641, 38255279, 38255264, 38259279, 38255908, 38255264, 38254728, 38250706, 38244516, 38244254, 38242137, 38241373, 38239343, 38237887, 38234430, 38233389, 38231435, 38228750, 38227516, 38224289, 38219809, 38217037, 38216067"
"37095682, 37058886, 36998085, 36879117, 35736427, 35437333, 34502456, 33937026, 33910163, 33556332, 33492552, 33401758, 32023458, 31042485, 29514096, 28946040, 27138454, 38260602, 38258906, 38258686, 38257851, 38257292, 38254678, 38254456, 38253650, 38251638, 38249593, 38247489, 38245781, 38245637, 38245585, 38244515, 38243887, 38243250, 38241436, 38240388, 38240302","38253811, 38252148, 38225236, 38216942, 38193366, 38181579, 38167685, 38132455, 38106163, 38104390, 38097671, 38015561, 38011998, 37985999, 37981011, 37955787, 37906252, 37882467, 37855990, 37845452, 38253874, 38232262, 38203518, 38187651, 38184869, 38175833, 38174112, 38159156, 38132892, 38108157, 38096887, 38092101, 38090485, 38073253, 38066834, 38048507, 38032057, 38026503, 38020881, 38013811","38259095, 38259061, 38258906, 38257292, 38257141, 38256402, 38256249, 38255916, 38255819, 38254755, 38251232, 38248835, 38248826, 38248823, 38248446, 38246006, 38245781, 38245780, 38245554, 38245534, 38254678, 38123486, 37901448, 37845346, 37611884, 37459052, 37402104, 37293990, 37166884, 37119391, 37037513, 37035548, 37003609, 36334897, 36177011, 36139402, 35903105, 35860233, 35750314, 35514335, 38254456, 38222494, 38201306, 38172276, 38166768, 38149240, 38096943, 38084699, 38076414, 38070895, 38070347, 38068838, 38035700, 38016345, 38012694, 37992711, 37990006, 37980029, 37978573, 37972911"
"38228603, 38163063, 38031010, 38004715, 37893576, 37868100, 37790477, 37456520, 37333851, 37277934, 37217829, 37185870, 36713167, 36671391, 36350127, 36286976, 36246273, 36195943, 36192756, 36118230","38261282, 38260960, 38260869, 38260209, 38260058, 38259967, 38259673, 38259389, 38259378, 38259358, 38259106, 38258024, 38258019, 38257938, 38257934, 38257864, 38257851, 38257850, 38257190, 38257189","38261245, 38260899, 38260879, 38259488, 38259079, 38258910, 38258331, 38258313, 38258006, 38257984, 38257958, 38257890, 38257841, 38257840, 38257826, 38257822, 38257811, 38257799, 38257789, 38257760, 38261285, 38260985, 38260945, 38260879, 38260801, 38260777, 38260758, 38260531, 38260488, 38260306, 38260037, 38259842, 38259829, 38259743, 38259479, 38259440, 38259435, 38259433, 38259380, 38259375"
"38259389, 38258906, 38258020, 38257863, 38255916, 38255150, 38248835, 38247868, 38246590, 38244236, 38241751, 38238335, 38233198, 38227799, 38226896, 38225565, 38219386, 38203843, 38203747, 38203712","36892308, 36764395, 36695592, 36246273, 34254823, 33986253, 33750907, 33521000, 33499988, 31959912, 27035381, 26336637, 38211629, 38179168, 38123635, 38031010, 38004715, 37905455, 37868100, 37789055, 37671879, 37482605, 37456520, 37322103, 37277934, 37185870, 37010962, 37010961, 36994247, 36938439, 36910185, 36568836, 36892308, 35323040, 33642434, 26271750, 21894453, 15356972, 12171293, 2594456, 3304917, 914365, 38113528, 37931292, 37728376, 37492358, 37326281, 37087109, 36750739, 36475849, 36382945, 36046746, 35986339, 35858968, 35575834, 35469122, 35196993, 35139905, 35058634, 34606393, 34359503, 34111578, 38228603, 38163063, 38031010, 38004715, 37893576, 37868100, 37790477, 37456520, 37333851, 37277934, 37217829, 37185870, 36713167, 36671391, 36350127, 36286976, 36246273, 36195943, 36192756, 36118230, 38260498, 38260388, 38260353, 38259896, 38259825, 38257674, 38256439, 38255271, 38254225, 38253344, 38249981, 38249212, 38245638, 38245375, 38243331, 38243054, 38241284, 38241279, 38240823, 38239614, 38261399, 38261397, 38261393, 38261392, 38261391, 38261390, 38261386, 38261377, 38261372, 38261360, 38261357, 38261344, 38261341, 38261340, 38261334, 38261310, 38261297, 38261296, 38261280, 38261278, 37572514, 35789624, 35665911, 32321375, 28318506, 22920415, 22072911, 21134810, 17589966, 17105666, 16963323, 15889452, 10492154, 2112063","38260103, 38257863, 38248533, 38248460, 38247399, 38246848, 38243343, 38243335, 38239846, 38238372, 38235595, 38232812, 38230258, 38226944, 38225565, 38218004, 38217512, 38214657, 38199973, 38194971"
