PubMed_IDs_FP,PMC_IDs_FP
"38261367, 38261364, 38261321, 38261308, 38261285, 38261275, 38261245, 38261163, 38261150, 38261092, 38261062, 38260985, 38260983, 38260945, 38260899, 38260879, 38260822, 38260801, 38260788, 38260777, 38259963, 38259358, 38255641, 38249987, 38245675, 38243562, 38240375, 38238712, 38229068, 38228603, 38218379, 38216746, 38211629, 38205958, 38205082, 38203738, 38201884, 38193530, 38188629, 38188628","10801599, 8171221, 10792240, 10777159, 10776400, 10772566, 10772497, 10772322, 10770729, 10763663, 10760069, 10748004, 10746369, 10744088, 10721158, 10715502, 10710470, 10709539, 10691108, 10789611, 10788222, 10794645, 10626196, 10604300, 10515763, 10302312, 10466891, 10140422, 10092732, 9899885, 10187017, 10141847, 9398146, 9782803, 9730673, 9686449, 9620741, 9887285, 9855847, 9684776, 10375398, 9569184, 9568370, 8750814, 8313584, 8110804, 8491202, 7998537, 10721158, 10794645, 10791873, 10708189, 8559543, 10613693, 10579100, 10473604, 10612330, 10539945, 10466891, 10376827, 10316279, 10140422, 10107804, 9996383, 9977187, 10155959, 10089282, 10063231"
"38259345, 38259061, 38257605, 38257100, 38255437, 38254655, 38254443, 38249016, 38246697, 38246375, 38246245, 38245838, 38243676, 38243653, 38242594, 38242473, 38242302, 38241679, 38241065, 38239368, 38261146, 38260472, 38259281, 38259082, 38258317, 38258297, 38257331, 38256858, 38256019, 38255968, 38255798, 38255309, 38255232, 38254859, 38254735, 38254373, 38254294, 38253778, 38253629, 38252908, 38233752, 38200005, 38186577, 38179773, 38177106, 38168227, 38167649, 38140600, 38132921, 38114433, 38057151, 38057032, 38055827, 38022565, 37972702, 37967193, 37957625, 37948512, 37942226, 37934242, 38192178, 38187223, 38172258, 38149948, 38113104, 38110479, 38076996, 38067117, 38039407, 38035132, 37961482, 37910551, 37793854, 37781383, 37752597, 37716048, 37678750, 37670812, 37656752, 37610509","10802810, 10802103, 10802021, 10802000, 10801734, 10801732, 10801662, 10801642, 10801615, 10801599, 10801290, 10801026, 10801024, 10800980, 10800968, 10800960, 10800934, 10800852, 10800824, 10800775"
"38260814, 38260572, 38260468, 38260421, 38260387, 38260352, 38257332, 38256383, 38256073, 38255934, 38255802, 38254665, 38253797, 38253414, 38253190, 38252352, 38252317, 38250927, 38250364, 38250153, 38260380, 38260171, 38258976, 38254035, 38253272, 38253083, 38252991, 38252317, 38251007, 38250761, 38247876, 38247539, 38247333, 38247327, 38245863, 38244711, 38244663, 38244593, 38244586, 38244583","10801527, 10801518, 10800914, 10800509, 10799947, 10799834, 10798984, 10796611, 10796034, 10795824, 10794540, 10794471, 10791633, 10790430, 10790211, 10790045, 10789968, 10788349, 10786696, 10786651, 10729450, 10730225, 10664798, 10636641, 10626288, 10566291, 10545910, 10348422, 10264219, 10475084, 10394271, 10311558, 10286693, 10224841, 10129428, 9985413, 9910956, 10180739, 10167031, 9932021, 10779333, 10762314, 10740837, 10703732, 10700720, 10730225, 10676477, 10671947, 10664798, 10655108, 10647581, 10636641, 10635392, 10626288, 10623161, 10578353, 10566291, 10563694, 10526846, 10504839, 10762782, 10740682, 10719010, 10636641, 10626288, 10623161, 10587562, 10421457, 10236992, 10225537, 10579598, 10295963, 10256815, 10211313, 10196242, 10018301, 9953403, 9910956, 10177037, 10142179, 10800401, 10764451, 10748489, 10742140, 10740166, 10735089, 10718223, 10704246, 10701738, 10800811, 10780222, 10779124, 10778447, 10775371, 10748599, 10707526, 10701590, 10695178, 10693314, 10690961"
"38261008, 38260867, 38260847, 38259879, 38256934, 38256485, 38255193, 38252039, 38250682, 38250466, 38250306, 38248854, 38246986, 38246481, 38246443, 38246416, 38245888, 38245591, 38245398, 38244660, 38243994, 38239880, 38237903, 38237236, 38236304, 38235973, 38231496, 38228760, 38228218, 38226130, 38225849, 38224849, 38220130, 38219974, 38195465, 38191511, 38189105, 38188943, 38188545, 38179232","10802668, 10802180, 10802109, 10801990, 10801916, 10801879, 10801829, 10801708, 10801686, 10801548, 10801527, 10801516, 10801082, 10801046, 10801004, 10800968, 10800900, 10800892, 10800846, 10800711, 10802845, 10801898, 10801486, 10801052, 10800734, 10800570, 10799953, 10799923, 10799790, 10799259, 10798739, 10798567, 10797983, 10797879, 10797797, 10797771, 10797646, 10797016, 10796455, 10796065, 10799923, 10796065, 10796040, 10795836, 10794398, 10792984, 10792025, 10791618, 10790771, 10790229, 10790228, 10788957, 10788908, 10788221, 10786860, 10786678, 10786575, 10786374, 10786371, 10785135, 10801898, 10800570, 10798627, 10797797, 10797662, 10796065, 10796058, 10794585, 10794398, 10793165, 10792790, 10791874, 10789386, 10788925, 10786860, 10786730, 10786575, 10783023, 10782936, 10781639, 10803162, 10802919, 10802918, 10802799, 10802203, 10802180, 10802109, 10801990, 10801916, 10801811, 10801642, 10801633, 10801615, 10801610, 10801589, 10801584, 10801558, 10801548, 10801542, 10801520"
"38189835, 38181751, 38131438, 38092509, 37958095, 37769672, 37751670, 37738940, 37598178, 37504146, 37473706, 37369668, 37330152, 37319181, 37230700, 37208609, 37188700, 37118457, 37108735, 36830339, 38180551, 37872593, 37370381, 37103367, 37003097, 36965614, 36920209, 36773438, 36719217, 36565346, 36513322, 36422039, 36374081, 36333944, 36216228, 36154441, 36144453, 36121241, 35916502, 35745484","10800390, 10800207, 10800091, 10799955, 10799947, 10799411, 10799094, 10798156, 10794014, 10794011, 10792702, 10792432, 10792243, 10792193, 10791926, 10790651, 10788921, 10788227, 10787762, 10784549, 10800207, 10741123, 10683363, 8656578, 7715650, 7589192, 6459625, 5398589, 3753504, 3572245, 10800726, 10799603, 10798368, 10798145, 10797874, 10795001, 10793199, 10793141, 10792970, 10792899, 10787898, 10786909, 10783989, 10782338, 10781608, 10779285, 10779122, 10779093, 10779007, 10778791, 10748553, 10741123, 10757216, 10728660, 10441638, 10373346, 10352992, 10683363, 10294307, 10240810, 10213819, 10213212, 10618422, 10585759, 10539815, 10495336, 10389823, 10377024, 10364665, 10152985, 10803173, 10803031, 10802841, 10802017, 10801516, 10801144, 10801111, 10800556, 10800395, 10800207, 10800091, 10799955, 10799372, 10798555, 10798254, 10797815, 10797652, 10797411, 10797287, 10797044"
"37753296, 36831485, 36501111, 36336148, 34985706, 34667145, 34158803, 33906557, 32888357, 32323831, 31243264, 29689565, 26742428, 26637224, 25692573, 38257396, 38255780, 38254688, 38241776, 38239506, 38238641, 38237742, 38237349, 38234617, 38231051, 38229135, 38223821, 38223670, 38218381, 38204243, 38203613, 38203299, 38202844, 38196284, 38191089","10783097, 10779037, 10768001, 10763947, 10755713, 10744656, 10740628, 10740442, 10731419, 10728628, 10716330, 10715134, 10715093, 10712113, 10703393, 10701447, 10691352, 10690719, 10794981, 10783020, 10288195, 10077291, 10055259, 9715604, 9698959, 9758169, 7613029, 8526645, 8670064, 8478609, 7734314, 7689421, 8906371, 7027989, 6937849, 6873887, 6915590, 6562671, 6461773, 6077189, 10077291, 10077291, 9784232, 6465370, 10767205, 10741081, 10715671, 10653857, 10594926, 10590874, 10587647, 10580657, 10567751, 10537767, 10453650, 10449756, 10419417, 10341410, 10644528, 10299449, 10221354, 10614757, 10586544, 10571487"
"38261397, 38261374, 38261360, 38261351, 38261220, 38261128, 38261126, 38261087, 38260971, 38260867, 38260858, 38260849, 38260847, 38260845, 38260842, 38260835, 38260834, 38260829, 38260819, 38260689, 38260918, 38260273, 38259389, 38259178, 38258906, 38258020, 38257863, 38257292, 38257172, 38257141, 38256892, 38256689, 38256499, 38256249, 38255916, 38255764, 38255652, 38255320, 38255263, 38255150","10587905, 10653868, 10256201, 10208484, 9740486, 9540199, 9607633, 9504724, 9561691, 9229204, 8920201, 9543091, 8783578, 8938323, 8991600, 8459765, 8314017, 7756092, 7765731, 6950413, 10792909, 10791968, 10746027, 10745944, 10745518, 10715124, 10714935, 10697884, 10788265, 10788228, 10778563, 10745990, 10735267, 10705774, 10702980, 10654918, 10587174, 10552763, 10475491, 10459158, 10778341, 10778266, 10773886, 10768001, 10763947, 10726288, 10715093, 10703393, 10774309, 10751911, 10746180, 10715671, 10715031, 10715005, 10702765, 10688039, 10673116, 10654082, 10653857, 10651712, 10802069, 10801462, 10800966, 10800960, 10800501, 10800491, 10798963, 10798636, 10798043, 10797890, 10797616, 10797449, 10797340, 10797128, 10797064, 10797042, 10797018, 10795328, 10794740, 10794587, 10653868, 10256201, 10208484, 9687752, 9504724, 9561691, 9229204, 8920201, 9359814, 9543091, 8783578, 8938323, 8459765, 7756092, 8087747, 8404709, 7326809, 7765731, 6385981, 5552118, 10800778, 10800491, 10792909, 10791968, 10791956, 10789797, 10785380, 10782996, 10779655, 10776646, 10770348, 10765051, 10764553, 10763233, 10763038, 10757254, 10756339, 10746260, 10746254, 10746226"
"38253811, 38252148, 38225236, 38216942, 38193366, 38181579, 38167685, 38132455, 38106163, 38104390, 38097671, 38015561, 38011998, 37985999, 37981011, 37955787, 37906252, 37882467, 37855990, 37845452, 38253874, 38232262, 38203518, 38187651, 38184869, 38175833, 38174112, 38159156, 38132892, 38108157, 38096887, 38092101, 38090485, 38073253, 38066834, 38048507, 38032057, 38026503, 38020881, 38013811","10796945, 10796726, 10796529, 10795377, 10793347, 10792284, 10789239, 10782694, 10781846, 10777855, 10777841, 10777373, 10774355, 10773956, 10773086, 10770378, 10766030, 10763846, 10762183, 10748198, 10803162, 10802069, 10801996, 10801670, 10801555, 10801200, 10801052, 10800916, 10800846, 10800310, 10800207, 10799935, 10799902, 10799510, 10798900, 10798865, 10797985, 10797784, 10797727, 10797657, 10800778, 10800157, 10799902, 10799778, 10798361, 10797776, 10795779, 10794784, 10794557, 10794469, 10792633, 10792067, 10792063, 10792057, 10790698, 10787489, 10786625, 10786400, 10785555, 10783594, 10794668, 10745504, 10711321, 10688821, 10791578, 10747647, 10693592, 10649981, 10542393, 10533852, 10441242, 10383181, 10359078, 10322722, 10636849, 10635318, 10634959, 10300848, 10272570, 10609668"
"38261282, 38260960, 38260869, 38260209, 38260058, 38259967, 38259673, 38259389, 38259378, 38259358, 38259106, 38258024, 38258019, 38257938, 38257934, 38257864, 38257851, 38257850, 38257190, 38257189","10793665, 10773723, 10745069, 10740475, 10732497, 10714990, 10708240, 10689341, 10800977, 10782063, 10778133, 10767002, 10758782, 10741010, 10688786, 10685252, 10648159, 10630421, 10577587, 10569982"
"36892308, 36764395, 36695592, 36246273, 34254823, 33986253, 33750907, 33521000, 33499988, 31959912, 27035381, 26336637, 38211629, 38179168, 38123635, 38031010, 38004715, 37905455, 37868100, 37789055, 37671879, 37482605, 37456520, 37322103, 37277934, 37185870, 37010962, 37010961, 36994247, 36938439, 36910185, 36568836, 36892308, 35323040, 33642434, 26271750, 21894453, 15356972, 12171293, 2594456, 3304917, 914365, 38113528, 37931292, 37728376, 37492358, 37326281, 37087109, 36750739, 36475849, 36382945, 36046746, 35986339, 35858968, 35575834, 35469122, 35196993, 35139905, 35058634, 34606393, 34359503, 34111578, 38228603, 38163063, 38031010, 38004715, 37893576, 37868100, 37790477, 37456520, 37333851, 37277934, 37217829, 37185870, 36713167, 36671391, 36350127, 36286976, 36246273, 36195943, 36192756, 36118230, 38260498, 38260388, 38260353, 38259896, 38259825, 38257674, 38256439, 38255271, 38254225, 38253344, 38249981, 38249212, 38245638, 38245375, 38243331, 38243054, 38241284, 38241279, 38240823, 38239614, 38261399, 38261397, 38261393, 38261392, 38261391, 38261390, 38261386, 38261377, 38261372, 38261360, 38261357, 38261344, 38261341, 38261340, 38261334, 38261310, 38261297, 38261296, 38261280, 38261278, 37572514, 35789624, 35665911, 32321375, 28318506, 22920415, 22072911, 21134810, 17589966, 17105666, 16963323, 15889452, 10492154, 2112063","10641730, 10119687, 9455863, 9429973, 8395087, 7611097, 8454868, 7463038, 6679555, 6796246, 6668340, 5760456, 6026542, 5337949, 4871788, 4626772, 3931393, 4104690, 3784547, 3507370, 10802109, 10801647, 10801642, 10801633, 10801557, 10801191, 10801125, 10801026, 10801024, 10800968, 10800960, 10800605, 10800552, 10800529, 10800499, 10800421, 10800401, 10800390, 10800374, 10800207, 10801395, 10800570, 10800562, 10800499, 10800421, 10800260, 10800207, 10800039, 10799605, 10798254, 10797952, 10797897, 10796982, 10796845, 10796758, 10796488, 10795824, 10795779, 10795777, 10795475, 10795475, 10794567, 10788626, 10772178, 10768068, 10741436, 10735226, 10733439, 10724443, 10723639, 10713585, 10712880, 10709870, 10702747, 10754533, 10731150, 10730658, 10691221, 10685650, 10674799, 10799112, 10798041, 10797292, 10795475, 10794398, 10791779, 10790773, 10790434, 10785434, 10783035, 10781648, 10780813, 10779697, 10779381, 10779093, 10778010, 10777426, 10776925, 10775536, 10774437, 10795475, 10792479, 10787373, 10785350, 10784727, 10781674, 10778431, 10772324, 10765318, 10763113, 10760375, 10759657, 10741436, 10731019, 10721158, 10706388, 10705482, 10702747, 10700132, 10691801, 10803070, 10802914, 10802793, 10802141, 10801958, 10801813, 10801633, 10801249, 10801245, 10801162, 10801004, 10800976, 10800960, 10800944, 10800517, 10800505, 10800421, 10800356, 10800354, 10800352, 10801633, 10800390, 10800207, 10800063, 10799454, 10799425, 10798254, 10798156, 10797952, 10797897, 10796786, 10796490, 10795779, 10794193, 10793689, 10792702, 10791665, 7615535, 10790362, 10789675"
"38011570, 37172104, 36332012, 36332011, 33072113, 32644940, 32433949, 31434738, 31189952, 30897205, 30131803, 27870882, 27861815, 24643764, 22989687, 22316065, 19240755, 17762787, 16160156, 12055256, 36332008, 38077339, 38061868, 38031731, 38016013, 38013140, 37949669, 37865091, 37807915, 37680154, 37658268, 37648263, 37545765, 37539746, 37523237, 37505225, 37341508, 37327322, 37261717, 37236326, 37195862, 38241400, 38236791, 38235135, 38233816, 38225437, 38164135, 38160480, 38149929, 38143762, 38134881, 38134199, 38129594, 38127423, 38127070, 38115107, 38086420, 38076957, 38074750, 38053998, 38048805, 36332011, 29128674, 26269452, 23733880, 23319737, 23149660, 21312192, 20427394, 20068222, 19387433, 16081812, 38183111, 38182929, 38135026, 38091985, 38065369, 38042034, 37909993, 37884280, 37874322, 37865091, 37864146, 37764666, 37707607, 37545498, 37539746, 37491001, 37392972, 37377962, 37267251, 37261089","10803100, 10803031, 10802967, 10802920, 10802918, 10802857, 10802852, 10802846, 10802811, 10802806, 10802804, 10802573, 10802463, 10802413, 10802224, 10802208, 10802203, 10802180, 10802171, 10802164, 10803100, 10803031, 10802920, 10802918, 10802857, 10802852, 10802806, 10802804, 10802573, 10802463, 10802413, 10802208, 10802171, 10802160, 10802158, 10802135, 10802125, 10802110, 10802051, 10802047, 10802845, 10802683, 10802668, 10802122, 10802021, 10801956, 10801542, 10801520, 10801329, 10801028, 10801024, 10800980, 10800978, 10800970, 10800968, 10800748, 10800661, 10800570, 10800535, 10800499"
"37843887, 37537336, 37138601, 36788626, 36677477, 35977400, 35836413, 35744736, 35714082, 35531325, 35437888, 34550284, 34455803, 34088939, 34012005, 33627512, 33436440, 32803363, 32599660, 31982454, 38019122, 37039637, 36315517, 36212537, 36040343, 35658516, 35638728, 35389782, 35259160, 35146465, 35084301, 34680891, 34643995, 34431703, 34407780, 34387940, 34253732, 34180607, 34103074, 34055726, 38225567, 38175648, 38155709, 38112529, 38091828, 38085805, 38050977, 38046281, 37990543, 37967715, 37963057, 37936955, 37934729, 37916326, 37902454, 37892181, 37891586, 37863341, 37860112, 37819633","10783791, 10770074, 10742930, 10730201, 10711275, 10706740, 10701328, 10700720, 10800223, 10793959, 10778565, 10758836, 10758477, 10757071, 10752901, 10675831, 10674576, 10674273, 10666622, 10636641, 10801527, 10801391, 10801072, 10800960, 10799090, 10794565, 10792788, 10791726, 10789450, 10788526, 10788266, 10787390, 10787371, 10787255, 10787144, 10786742, 10786138, 10786124, 10785504, 10785244, 10800922, 10800548, 10799484, 10795826, 10794316, 10792188, 10792011, 10790698, 10790105, 10790082, 10788714, 10788067, 10787980, 10786625, 10784786, 10784161, 10783791, 10782715, 10780911, 10780377"
"37987904, 37727808, 37604238, 37237590, 37180976, 37165550, 36880749, 36687564, 36650445, 36620054, 36386679, 36174929, 36033837, 35947011, 35694213, 35681015, 35509078, 35404108, 35365081, 35151353, 34039428, 34734352, 34039428, 31754146, 34039428","10803162, 10802228, 10801906, 10801814, 10801670, 10801499, 10801388, 10801385, 10801245, 10801200, 10801044, 10801022, 10800916, 10800802, 10800605, 10800390, 10800374, 10800366, 10799955, 10799902, 10802576, 10802508, 10802228, 10801996, 10801814, 10801044, 10800846, 10799955, 10793722, 10799726, 10799530, 10799412, 10798900, 10798361, 10797890, 10797727, 10797485, 10797056, 10797044, 10796816"
"38144163, 38095449, 37960281, 37805278, 37764715, 37630719, 37513682, 37384745, 37323145, 37303926, 37187354, 37108739, 37106999, 36980799, 36945445, 36709262, 36472532, 36442719, 36308543, 36185096, 38255150, 38251338, 38213622, 38189339, 38187399, 38183219, 38177086, 38093822, 38068758, 38058405, 38053417, 38010871, 37998812, 37983635, 37940357, 37932328, 37918451, 37914662, 37894882, 37877104, 37611168, 37290868, 37279755, 36529951, 35717467, 35623569, 35395818, 34836426, 34795267, 34081399, 34027999, 33924343, 33810796, 33756190, 33717028, 33517194, 33462312, 33239636, 33127812, 32732991, 38247858, 38237552, 38223254, 38201157, 38199499, 38195684, 38187688, 38176598, 38176407, 38168563, 38168087, 38167002, 38163724, 38151568, 38129049, 38126758, 38114447, 38111463, 38051995, 38050530","10803172, 10803166, 10803158, 10803100, 10803071, 10803068, 10803032, 10802979, 10802969, 10802950, 10802912, 10802888, 10802846, 10802828, 10802827, 10802811, 10802797, 10802734, 10802683, 10802653, 10797684, 10795193, 10791013, 10783004, 10781884, 10781739, 10761849, 10759344, 10757999, 10757982, 10757035, 10754870, 10750837, 10747891, 10747685, 10746125, 10745273, 10744586, 10744147, 10741032"
"38251754, 38235115, 38182056, 38181327, 38095406, 38088363, 38081560, 38013843, 37956106, 37949918, 37933637, 37898177, 37888650, 37865271, 37856184, 37852029, 37817680, 37767684, 37749243, 37746797, 38181327, 38089694, 38081560, 38054690, 38028424, 38026507, 38026506, 38010097, 37994483, 37993569, 37970964, 37967959, 37920885, 37901413, 37891051, 37885023, 37880380, 37868673, 37837561, 37802610, 38258675, 38250850, 38250842, 38241661, 38235834, 38232816, 38226938, 38188262, 38187726, 38183648, 38181327, 38180084, 38172512, 38172101, 38166694, 38165394, 38159096, 38157699, 38154666, 38151735, 38258675, 38072428, 38028424, 38017632, 38013843, 37779754, 37654487, 37580564, 37380070, 37321353, 37243019, 37169575, 37056446, 36928249, 36912718, 36560458, 36532656, 36498922, 36458507, 36321821, 37056446, 34822190, 34806775, 37767684, 37380070, 37376409, 37349223, 37169575, 37077470, 37056446, 36723646, 36532656, 36498922, 36249342, 36238929, 35848521, 35624518, 35392091, 35387045, 35384115, 35272714, 35266570, 34806775, 38247999, 38194049, 38128531, 38028424, 38026507, 38010097, 37970964, 37935073, 37880380, 37837561, 37779527, 37767684, 37758407, 37675215, 37660731, 37643821, 37633752, 37632050, 37614152, 37578030","10781058, 10778174, 10777004, 10776629, 10773569, 10765576, 10758108, 10752510, 10746186, 10744783, 10723329, 10716065, 10707323, 10701714, 10700412, 10693103, 10799061, 10799055, 10795189, 10785812, 10802793, 10802256, 10802141, 10802117, 10801958, 10801856, 10801620, 10801584, 10801542, 10801520, 10801516, 10801394, 10801221, 10801028, 10801020, 10800918, 10800844, 10800755, 10800751, 10800726, 10802810, 10802374, 10802234, 10802069, 10801996, 10801662, 10801599, 10801479, 10801385, 10801290, 10801084, 10801052, 10801004, 10800934, 10800846, 10800828, 10800824, 10800775, 10800657, 10800548"
"38235377, 38215076, 38201282, 38175445, 38139868, 38138609, 38136414, 38136362, 38123696, 38114800, 38111584, 38111188, 38109114, 38099606, 38092509, 38066895, 38066872, 38058209, 38053840, 38014060, 38252421, 38240344, 38177531, 38170787, 38167704, 38139260, 38128397, 38096371, 38095536, 38046539, 38037057, 38017105, 38007585, 37989777, 37966113, 37961674, 37945692, 37941480, 37932786, 37919300, 36531117, 34580292, 30409290, 30065968, 26125439, 25064737, 25023286, 23019217, 22527182, 21824245, 21113147, 20624457, 19369968, 18297287, 17703234, 16478725, 16229017, 15613543, 38238444, 38225454, 38201607, 38185587, 38174649, 38167338, 38162144, 38154977, 38145739, 38132393, 38125768, 38108611, 38092509, 38091953, 38071343, 38066241, 38050458, 38033488, 38026788, 38007372, 36531117, 34580292, 30409290, 30065968, 26125439, 25064737, 25023286, 23019217, 22527182, 21824245, 21113147, 20624457, 19369968, 18297287, 17703234, 16478725, 16229017, 15613543, 38259442, 38254706, 38253870, 38252421, 38250970, 38245529, 38243227, 38242196, 38241703, 38240344, 38237141, 38236532, 38236531, 38233701, 38230823, 38216003, 38215076, 38213321, 38211590, 38201282","10802069, 10801502, 10801316, 10801024, 10800968, 10800740, 10800556, 10800501, 10800491, 10800023, 10799998, 10799627, 10799491, 10799456, 10799433, 10799425, 10799372, 10799347, 10798963, 10798666"
"38247473, 38236896, 38136611, 38114804, 38101861, 38097589, 38091314, 38078719, 38048368, 38021876, 38004824, 38000209, 37963701, 37951691, 37924001, 37890785, 37890783, 37883602, 37877586, 37868996, 34610296, 26664988, 34610296, 34610296, 34610296, 38258334, 38257860, 38255978, 38239730, 38199304, 38186208, 38184812, 38183000, 38182365, 38146050, 38144113, 38133332, 38128774, 38128283, 38118305, 38116885, 38112628, 38100547, 38096285, 38095374","4644801, 4477371, 3441383, 3299753, 2829624, 10802797, 10802654, 10802364, 10802019, 10801966, 10801745, 10801708, 10801633, 10801599, 10801527, 10801479, 10801207, 10801078, 10801024, 10800976, 10800850, 10800846, 10800820, 10800711, 10800701, 10803070, 10802797, 10802187, 10801810, 10801745, 10801708, 10801207, 10801191, 10801078, 10800986, 10800976, 10800960, 10800828, 10800720, 10800680, 10800570, 10800517, 10800441, 10800300, 10800207, 10781968, 10773432, 10772678, 10721132, 10716479, 10705712, 10700246, 10766988, 10758883, 10751679, 10754280, 10706435, 10704251, 10701436, 10694348, 10679864, 10670242, 10670198, 10643875, 10626548"
"38036154, 37890668, 37783809, 37713848, 37509607, 37407236, 37349125, 37331708, 37251324, 37244629, 37052491, 37024582, 36993328, 36835228, 36771106, 36713567, 36517414, 36194131, 36149602, 36142655, 38186579, 38180633, 38177198, 38172792, 38167440, 38158550, 38147452, 38108211, 38099606, 38099288, 38093594, 38092145, 38084702, 38077400, 38073586, 38065409, 38062450, 38062443, 38045683, 38042786, 38063332, 37917349, 37802156, 37731020, 37512582, 37310720, 37298566, 36752580, 36358726, 36170179, 35970177, 35965551, 35954376, 35524452, 35342344, 35331175, 35160173, 35127176, 34741022, 34385421, 38254212, 38243357, 38239488, 38223851, 38212656, 38172712, 38172468, 38161124, 38160800, 38148664, 38146655, 38111159, 38104795, 38077163, 38073420, 38068956, 38035361, 38017183, 38005338, 38001817","10802754, 10802474, 10801599, 10801402, 10800976, 10799951, 10799120, 10797886, 10795828, 10795662, 10793667, 10792455, 10791579, 10789202, 10786977, 10786383, 10786037, 10785221, 10784587, 10783963, 10802916, 10802857, 10802843, 10802208, 10802203, 10802110, 10802021, 10802000, 10801591, 10801589, 10801542, 10801471, 10801144, 10801121, 10800986, 10800976, 10800970, 10800960, 10800944, 10800934, 10802857, 10802843, 10802208, 10802158, 10802000, 10801956, 10801642, 10801243, 10801197, 10801154, 10801028, 10800970, 10800968, 10800960, 10800908, 10800748, 10800505, 10800401, 10800307, 10800289, 10801633, 10801078, 10800976, 10800846, 10800711, 10800701, 10800376, 10800300, 10799351, 10799120, 10799056, 10798065, 10798041, 10797708, 10796881, 10796631, 10796474, 10796311, 8171221, 10796020"
"38177560, 38144528, 37709624, 37565289, 37512809, 37369462, 37348162, 37326363, 37270847, 37076565, 36999887, 36766817, 36714945, 36654529, 36528236, 36410923, 36302789, 36115807, 36114955, 36114826, 38260999, 38212325, 38152278, 38124204, 38109713, 38077157, 38055645, 38050190, 37966669, 37923799, 37865041, 37842106, 37834032, 37813201, 37809069, 37792769, 37743521, 37735874, 37718459, 37659202, 38260445, 38259082, 38255821, 38244725, 38243937, 38242280, 38241189, 38236692, 38235705, 38226217, 38224723, 38223704, 38218503, 38216883, 38216102, 38214343, 38213247, 38212810, 38212325, 38212003, 34282029","10803162, 10803100, 10803070, 10802591, 10802228, 10802180, 10802069, 10802051, 10801996, 10801990, 10801988, 10801964, 10801906, 10801814, 10801732, 10801660, 10801599, 10801581, 10801380, 10801267, 10802683, 10802158, 10802017, 10801661, 10801652, 10800970, 10800395, 10800337, 10800307, 10800207, 10800054, 10799525, 10799433, 10799134, 10799076, 10798254, 10798113, 10797901, 10797874, 10797674"
"34999740, 34607939, 34519539, 34312385, 33897682, 38146118, 37993788, 37788543, 37685260, 37520557, 37506745, 37333646, 37166335, 37063863, 36917669, 36512097, 36389833, 36268016, 36232710, 36174771, 36068292, 36038709, 35995830, 35869848, 35865538, 34312385, 1330897, 34312385, 32778404, 10916751, 6236262","10803162, 10802810, 10802793, 10802320, 10802069, 10801837, 10801662, 10801599, 10801581, 10801218, 10801200, 10801144, 10801022, 10801020, 10800846, 10800657, 10800605, 10800451, 10799947, 10799902, 10803162, 10802228, 10801906, 10801814, 10801670, 10801388, 10801022, 10800916, 10800390, 10800374, 10799955, 10799902, 10799778, 10793722, 10799404, 10799374, 10799142, 10799056, 10798900, 10798878"
"38259965, 38255322, 38249787, 38247803, 38246174, 38243672, 38243006, 38241400, 38241360, 38240927, 38239560, 38239346, 38238790, 38233074, 38231411, 38231291, 38229911, 38228679, 38226976, 38223593","10803190, 10803170, 10803164, 10803158, 10803097, 10803093, 10803090, 10803089, 10803080, 10803042, 10803035, 10803023, 10803017, 10802996, 10802992, 10802988, 10802962, 10802941, 10802939, 10802922, 10802683, 10802158, 10802103, 10801599, 10801022, 10800980, 10800816, 10800775, 10800207, 10800065, 10799708, 10799574, 10799056, 10798772, 10798763, 10798236, 10797939, 10797866, 10797782, 10797708"
"38239049, 38231412, 38227006, 38218451, 38212672, 38204488, 38203593, 38203404, 38199852, 38199143, 38197938, 38192010, 38186161, 38184001, 38183302, 38183299, 38177221, 38168845, 38167399, 38157001, 35572572, 34777363, 27885969, 26197390, 27885969, 34777363, 38056896, 38010706, 37467715, 36090298, 36071219, 35222392, 34777363, 34707604, 34487545, 34403789, 34262560, 33927311, 33916809, 33415155, 33329550, 33304583, 32880861, 32255769, 32209636, 31984629","10802679, 10802553, 10801855, 10801708, 10801613, 10801572, 10801553, 10801490, 10801086, 10800966, 10800900, 10800808, 10800657, 10800461, 10800037, 10799997, 10799931, 10799625, 10799544, 10799515, 10802810, 10802683, 10802212, 10802164, 10802131, 10802047, 10802000, 10801958, 10801936, 10801902, 10801804, 10801662, 10801642, 10801604, 10801596, 10801589, 10801569, 10801557, 10801555, 10801527, 10801940, 10801633, 10801599, 10800968, 10800824, 10800499, 10800421, 10800390, 10800207, 10800116, 10799947, 10799834, 10799627, 10799433, 10799425, 10799406, 10798966, 10798567, 10798368, 10797874, 10803070, 10802021, 10801734, 10801558, 10801004, 10800556, 10800459, 10800401, 10800370, 10800063, 10799787, 10799583, 10799528, 10798987, 10798517, 10798370, 10798041, 10798013, 10797292, 10796943"
